 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   4062.813   3.045110E+12     0.945   0.000   0.000   0.055
   4082.717   3.052228E+12     0.945   0.000   0.000   0.055
   4102.621   3.059311E+12     0.944   0.000   0.000   0.056
   4122.525   3.066358E+12     0.944   0.000   0.000   0.056
   4142.428   3.073370E+12     0.944   0.000   0.000   0.056
   4162.332   3.080346E+12     0.944   0.000   0.000   0.056
   4182.236   3.087288E+12     0.944   0.000   0.000   0.056
   4202.140   3.094195E+12     0.944   0.000   0.000   0.056
   4222.044   3.101067E+12     0.944   0.000   0.000   0.056
   4241.948   3.107905E+12     0.944   0.000   0.000   0.056
   4261.852   3.114708E+12     0.944   0.000   0.000   0.056
   4281.756   3.121477E+12     0.943   0.000   0.000   0.057
   4301.660   3.128213E+12     0.943   0.000   0.000   0.057
   4321.564   3.134914E+12     0.943   0.000   0.000   0.057
   4341.468   3.141582E+12     0.943   0.000   0.000   0.057
   4361.372   3.148216E+12     0.943   0.000   0.000   0.057
   4381.276   3.154817E+12     0.943   0.000   0.000   0.057
   4401.180   3.161385E+12     0.943   0.000   0.000   0.057
   4421.084   3.167919E+12     0.943   0.000   0.000   0.057
   4440.988   3.174421E+12     0.943   0.000   0.000   0.057
   4460.892   3.180889E+12     0.943   0.000   0.000   0.057
   4480.796   3.187325E+12     0.942   0.000   0.000   0.058
   4500.700   3.193729E+12     0.942   0.000   0.000   0.058
   4520.604   3.200100E+12     0.942   0.000   0.000   0.058
   4540.508   3.206439E+12     0.942   0.000   0.000   0.058
   4560.412   3.212746E+12     0.942   0.000   0.000   0.058
   4580.316   3.219020E+12     0.942   0.000   0.000   0.058
   4600.220   3.225263E+12     0.942   0.000   0.000   0.058
   4620.124   3.231475E+12     0.942   0.000   0.000   0.058
   4640.028   3.237655E+12     0.942   0.000   0.000   0.058
   4659.932   3.243803E+12     0.942   0.000   0.000   0.058
   4679.836   3.249920E+12     0.941   0.000   0.000   0.059
   4699.740   3.256006E+12     0.941   0.000   0.000   0.059
   4719.644   3.262061E+12     0.941   0.000   0.000   0.059
   4739.548   3.268085E+12     0.941   0.000   0.000   0.059
   4759.452   3.274078E+12     0.941   0.000   0.000   0.059
   4779.356   3.280041E+12     0.941   0.000   0.000   0.059
   4799.260   3.285973E+12     0.941   0.000   0.000   0.059
   4819.164   3.291875E+12     0.941   0.000   0.000   0.059
   4839.068   3.297746E+12     0.941   0.000   0.000   0.059
   4858.972   3.303587E+12     0.941   0.000   0.000   0.059
   4878.876   3.309399E+12     0.941   0.000   0.000   0.059
   4898.780   3.315180E+12     0.940   0.000   0.000   0.060
   4918.684   3.320932E+12     0.940   0.000   0.000   0.060
   4938.588   3.326654E+12     0.940   0.000   0.000   0.060
   4958.492   3.332347E+12     0.940   0.000   0.000   0.060
   4978.396   3.338010E+12     0.940   0.000   0.000   0.060
   4998.300   3.343644E+12     0.940   0.000   0.000   0.060
   5018.204   3.349249E+12     0.940   0.000   0.000   0.060
   5038.108   3.354825E+12     0.940   0.000   0.000   0.060
   5058.012   3.360372E+12     0.940   0.000   0.000   0.060
   5077.916   3.365890E+12     0.940   0.000   0.000   0.060
   5097.820   3.371379E+12     0.940   0.000   0.000   0.060
   5117.724   3.376840E+12     0.939   0.000   0.000   0.061
   5137.628   3.382272E+12     0.939   0.000   0.000   0.061
   5157.532   3.387676E+12     0.939   0.000   0.000   0.061
   5177.435   3.393052E+12     0.939   0.000   0.000   0.061
   5197.339   3.398400E+12     0.939   0.000   0.000   0.061
   5217.243   3.403719E+12     0.939   0.000   0.000   0.061
   5237.147   3.409011E+12     0.939   0.000   0.000   0.061
   5257.051   3.414275E+12     0.939   0.000   0.000   0.061
   5276.955   3.419512E+12     0.939   0.000   0.000   0.061
