 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.000 mm x  0.000 mm pinhole at  0.000 mm,  0.000 mm @ 20.000 m:
 Integrated flux   5.542E+04 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   4659.932   1.258287E+01     0.982   0.000   0.000   0.018
   4679.836   1.306179E+01     0.983   0.000   0.000   0.017
   4699.740   1.355401E+01     0.984   0.000   0.000   0.016
   4719.644   1.405899E+01     0.984   0.000   0.000   0.016
   4739.548   1.457546E+01     0.985   0.000   0.000   0.015
   4759.452   1.510624E+01     0.986   0.000   0.000   0.014
   4779.356   1.565302E+01     0.986   0.000   0.000   0.014
   4799.260   1.622738E+01     0.987   0.000   0.000   0.013
   4819.164   1.681969E+01     0.988   0.000   0.000   0.012
   4839.068   1.741940E+01     0.988   0.000   0.000   0.012
   4858.972   1.802175E+01     0.989   0.000   0.000   0.011
   4878.876   1.863089E+01     0.989   0.000   0.000   0.011
   4898.780   1.925236E+01     0.990   0.000   0.000   0.010
   4918.684   1.988590E+01     0.990   0.000   0.000   0.010
   4938.588   2.052856E+01     0.991   0.000   0.000   0.009
   4958.492   2.118278E+01     0.991   0.000   0.000   0.009
   4978.396   2.185114E+01     0.991   0.000   0.000   0.009
   4998.300   2.254506E+01     0.992   0.000   0.000   0.008
   5018.204   2.325404E+01     0.992   0.000   0.000   0.008
   5038.108   2.396598E+01     0.993   0.000   0.000   0.007
   5058.012   2.467402E+01     0.993   0.000   0.000   0.007
   5077.916   2.538149E+01     0.993   0.000   0.000   0.007
   5097.820   2.609796E+01     0.993   0.000   0.000   0.007
   5117.724   2.682999E+01     0.994   0.000   0.000   0.006
   5137.628   2.757337E+01     0.994   0.000   0.000   0.006
   5157.532   2.831505E+01     0.994   0.000   0.000   0.006
   5177.435   2.904167E+01     0.994   0.000   0.000   0.006
   5197.339   2.976228E+01     0.994   0.000   0.000   0.006
   5217.243   3.048249E+01     0.994   0.000   0.000   0.006
   5237.147   3.120277E+01     0.994   0.000   0.000   0.006
   5257.051   3.191602E+01     0.995   0.000   0.000   0.005
   5276.955   3.261509E+01     0.995   0.000   0.000   0.005
   5296.859   3.329632E+01     0.994   0.000   0.000   0.006
   5316.763   3.395882E+01     0.994   0.000   0.000   0.006
   5336.667   3.460383E+01     0.994   0.000   0.000   0.006
   5356.571   3.522700E+01     0.994   0.000   0.000   0.006
   5376.475   3.581538E+01     0.994   0.000   0.000   0.006
   5396.379   3.635931E+01     0.993   0.000   0.000   0.007
   5416.283   3.686000E+01     0.993   0.000   0.000   0.007
   5436.187   3.731050E+01     0.992   0.000   0.000   0.008
   5456.091   3.769380E+01     0.991   0.000   0.000   0.009
   5475.995   3.800170E+01     0.991   0.000   0.000   0.009
   5495.899   3.823299E+01     0.989   0.000   0.000   0.011
   5515.803   3.836806E+01     0.988   0.000   0.000   0.012
   5535.707   3.837676E+01     0.986   0.000   0.000   0.014
   5555.611   3.824821E+01     0.984   0.000   0.000   0.016
   5575.515   3.797124E+01     0.982   0.000   0.000   0.018
   5595.419   3.749947E+01     0.979   0.000   0.000   0.021
   5615.323   3.679412E+01     0.977   0.000   0.000   0.023
   5635.227   3.585761E+01     0.973   0.000   0.000   0.027
   5655.131   3.464939E+01     0.970   0.000   0.000   0.030
   5675.035   3.302449E+01     0.966   0.000   0.000   0.034
   5694.939   3.088508E+01     0.961   0.000   0.000   0.039
   5714.843   2.831065E+01     0.956   0.000   0.000   0.044
   5734.747   2.533995E+01     0.950   0.000   0.000   0.050
   5754.651   2.172707E+01     0.944   0.000   0.000   0.056
   5774.555   1.727986E+01     0.940   0.000   0.000   0.060
   5794.459   1.250917E+01     0.939   0.000   0.000   0.061
   5814.363   8.567596E+00     0.942   0.000   0.000   0.058
   5834.267   6.300409E+00     0.948   0.000   0.000   0.052
   5854.171   5.525208E+00     0.953   0.000   0.000   0.047
   5874.075   5.421413E+00     0.954   0.000   0.000   0.046
   5893.979   5.396304E+00     0.955   0.000   0.000   0.045
   5913.883   5.364778E+00     0.957   0.000   0.000   0.043
   5933.787   5.404844E+00     0.958   0.000   0.000   0.042
   5953.691   5.493939E+00     0.959   0.000   0.000   0.041
   5973.595   5.581227E+00     0.960   0.000   0.000   0.040
   5993.499   5.677592E+00     0.961   0.000   0.000   0.039
   6013.403   5.799116E+00     0.962   0.000   0.000   0.038
   6033.307   5.930856E+00     0.963   0.000   0.000   0.037
